"fit","lwr","upr"
3454.64108638349,3088.6839865947,3822.61839585835
4210.4348845077,3843.39301539245,4578.23516406806
4244.78515574878,3871.51465273674,4616.03544907476
4035.06463941076,3662.23817699338,4407.13269138304
3936.42103418475,3566.1952756551,4308.66700240046
4706.27925515786,4333.39465683356,5079.92226392727
4754.69394924785,4371.80597400519,5135.56171480445
4559.03785575873,4174.34606772549,4942.97123334688
4474.45867338163,4091.08520807036,4859.85234837895
5258.38131720365,4869.54423124275,5647.97681360964
